지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
140,2018-01-01 00:00,-.3,,.2,0,84,5,-2.6,1023.6,1026.6,,,,,,,,,1770,,,0,,,,
140,2018-01-01 01:00,-1.1,,.1,0,77,4.3,-4.6,1023.5,1026.5,,,,,,,,,1997,,,-.4,,,,
140,2018-01-01 02:00,-1.3,,.6,160,77,4.3,-4.8,1023.7,1026.7,,,,,,,,,1970,,,-.5,,,,
140,2018-01-01 03:00,-.3,,1.4,50,66,4,-5.8,1024.2,1027.2,,,,,,,,,2000,,,-.9,,,,
140,2018-01-01 04:00,-2.1,,.2,0,77,4.1,-5.5,1024.2,1027.2,,,,,,,,,1977,,,-1.1,,,,
140,2018-01-01 05:00,-2.1,,.2,0,73,3.8,-6.2,1024.1,1027.1,,,,,,,,,2000,,,-1.3,,,,
140,2018-01-01 06:00,-2.5,,.4,0,85,4.3,-4.6,1024,1027,,,,,,,,,1826,,,-1.5,,,,
140,2018-01-01 07:00,-3.6,,.2,0,84,3.9,-5.9,1024.4,1027.4,,,,,,,,,1869,,,-1.9,,,,
140,2018-01-01 08:00,-3.5,,.5,90,87,4.1,-5.3,1025,1028,0,,,,,,,,1642,,,-2.1,,,,
140,2018-01-01 09:00,-2.1,,.5,140,83,4.3,-4.6,1025.8,1028.8,.8,,,,,,,,1099,,,-.4,,,,
140,2018-01-01 10:00,1.4,,1.8,140,67,4.5,-4,1026.3,1029.3,1,,,,,,,,1856,,,.4,,,,
140,2018-01-01 11:00,3.1,,1.6,160,53,4.1,-5.5,1026.6,1029.5,1,,,,,,,,1917,,,.3,,,,
140,2018-01-01 12:00,3.8,,2.1,270,54,4.3,-4.6,1026.3,1029.2,1,,,,,,,,1992,,,.9,,,,
140,2018-01-01 13:00,4.1,,1.7,270,42,3.5,-7.6,1025.5,1028.4,.6,,,,,,,,1969,,,6.1,,,,
140,2018-01-01 14:00,4.9,,2.7,200,45,3.9,-6,1025,1027.9,1,,,,,,,,1898,,,9.3,,,,
140,2018-01-01 15:00,4.9,,2.4,250,50,4.3,-4.6,1024.8,1027.7,1,,,,,,,,2000,,,8.6,,,,
140,2018-01-01 16:00,4.5,,2.7,250,54,4.5,-4,1025.2,1028.1,1,,,,,,,,2000,,,6.6,,,,
140,2018-01-01 17:00,3.3,,2.5,270,58,4.5,-4.1,1025.3,1028.2,.9,,,,,,,,2000,,,2.6,,,,
140,2018-01-01 18:00,1.8,,1.6,290,67,4.7,-3.6,1025.6,1028.5,0,,,,,,,,2000,,,.1,,,,
140,2018-01-01 19:00,1,,0,0,68,4.5,-4.2,1025.6,1028.6,,,,,,,,,2000,,,.2,,,,
140,2018-01-01 20:00,.8,,.1,0,69,4.5,-4.2,1025.9,1028.9,,,,,,,,,2000,,,.1,,,,
140,2018-01-01 21:00,-.8,,.4,0,81,4.7,-3.6,1026.2,1029.2,,,,,,,,,1918,,,0,,,,
140,2018-01-01 22:00,-.6,,.3,0,73,4.3,-4.8,1026.2,1029.2,,,,,,,,,1879,,,-.4,,,,
140,2018-01-01 23:00,-1.5,,.2,0,77,4.2,-5,1026.4,1029.4,,,,,,,,,1393,,,-.6,,,,
140,2018-01-02 00:00,-1.3,,1.1,90,80,4.4,-4.3,1026.5,1029.5,,,,,,,,,1338,,,-.8,,,,
140,2018-01-02 01:00,-1.8,,1.6,90,83,4.4,-4.3,1026.7,1029.7,,,,,,,,,1340,,,-1.1,,,,
140,2018-01-02 02:00,-1.6,,.7,90,82,4.5,-4.2,1026.7,1029.7,,,,,,,,,1289,,,-1.3,,,,
140,2018-01-02 03:00,-1.4,,.7,70,81,4.5,-4.2,1026.7,1029.7,,,,,,,,,1377,,,-1.7,,,,
140,2018-01-02 04:00,-2.9,,1.1,90,85,4.2,-5,1026.2,1029.2,,,,,,,,,1302,,,-2.3,,,,
140,2018-01-02 05:00,-2.6,,.5,290,87,4.4,-4.4,1026.1,1029.1,,,,,,,,,1072,,,-2.7,,,,
140,2018-01-02 06:00,-3.1,,0,0,90,4.4,-4.5,1026.3,1029.3,,,,,,,,,970,,,-2.9,,,,
140,2018-01-02 07:00,-3.3,,.4,0,93,4.5,-4.2,1026.5,1029.5,,,,,,,,,836,,,-2.9,,,,
140,2018-01-02 08:00,-4,,.3,0,95,4.3,-4.6,1026.8,1029.8,0,,,,,,,,727,,,-2.9,,,,
140,2018-01-02 09:00,-2.6,,.3,0,92,4.6,-3.7,1026.6,1029.6,0,,,,,,,,540,,,-.9,,,,
140,2018-01-02 10:00,-.4,,.5,270,87,5.2,-2.3,1026.7,1029.7,.5,,,,,,,,839,,,.3,,,,
140,2018-01-02 11:00,1.2,,.4,0,84,5.6,-1.2,1027.3,1030.3,.5,,,,,,,,592,,,.5,,,,
140,2018-01-02 12:00,2.3,,.7,270,78,5.6,-1.1,1026.7,1029.6,0,,,,,,,,827,,,.4,,,,
140,2018-01-02 13:00,3,,1.5,340,76,5.8,-.8,1025.8,1028.7,.1,,,,,,,,924,,,.8,,,,
140,2018-01-02 14:00,3.6,,.9,320,75,5.9,-.4,1025.3,1028.2,0,,,,,,,,911,,,.9,,,,
140,2018-01-02 15:00,4.3,0,.5,140,78,6.4,.7,1024.8,1027.7,0,,,,,,,,769,,,1.9,,,,
140,2018-01-02 16:00,3.9,,.9,290,79,6.3,.5,1025.5,1028.4,0,,,,,,,,561,,,1.3,,,,
140,2018-01-02 17:00,3.9,,2.4,290,83,6.7,1.2,1026,1028.9,0,,,,,,,,789,,,1.4,,,,
140,2018-01-02 18:00,2.6,,3.1,320,62,4.6,-3.9,1026.5,1029.4,0,,,,,,,,1104,,,.1,,,,
140,2018-01-02 19:00,1.9,,1.6,320,53,3.7,-6.6,1026.4,1029.3,,,,,,,,,1627,,,.1,,,,
140,2018-01-02 20:00,.8,,.9,340,52,3.4,-7.9,1026.1,1029.1,,,,,,,,,1699,,,0,,,,
140,2018-01-02 21:00,-.3,,.5,320,63,3.8,-6.5,1026,1029,,,,,,,,,1571,,,0,,,,
140,2018-01-02 22:00,-1.2,,.4,0,71,4,-5.7,1026.5,1029.5,,,,,,,,,1320,,,-.2,,,,
140,2018-01-02 23:00,-1.2,,1.5,320,61,3.4,-7.7,1026.7,1029.7,,,,,,,,,1877,,,-.6,,,,
140,2018-01-03 00:00,-1,,1.3,320,56,3.2,-8.6,1026.9,1029.9,,,,,,,,,2000,,,-.8,,,,
