lon,lat,lev,time,dni
1.0,32.5,8.0,2020-07-23,-82.79261
1.0,32.5,8.0,2020-07-24,-82.77378
1.0,32.5,8.0,2020-07-25,-25.238276
1.0,32.5,8.0,2020-07-26,15.254542
1.0,32.5,8.0,2020-07-27,-82.304474
1.0,32.5,9.0,2020-04-01,826.1814
1.0,32.5,9.0,2020-04-02,827.77954
1.0,32.5,9.0,2020-04-03,827.8093
1.0,32.5,9.0,2020-04-04,871.80444
1.0,32.5,9.0,2020-04-05,473.35507
1.0,32.5,9.0,2020-04-06,830.1268
1.0,32.5,9.0,2020-04-07,821.45325
1.0,32.5,9.0,2020-04-08,823.13385
1.0,32.5,9.0,2020-04-09,816.2699
1.0,32.5,9.0,2020-04-10,-133.70937
1.0,32.5,9.0,2020-04-11,827.4
1.0,32.5,9.0,2020-04-12,853.23206
1.0,32.5,9.0,2020-04-13,753.38257
1.0,32.5,9.0,2020-04-14,27.319712
1.0,32.5,9.0,2020-04-15,831.46405
1.0,32.5,9.0,2020-04-16,-133.70937
1.0,32.5,9.0,2020-04-17,-102.48156
1.0,32.5,9.0,2020-04-18,-133.70937
1.0,32.5,9.0,2020-04-19,-132.16324
1.0,32.5,9.0,2020-04-20,845.7107
1.0,32.5,9.0,2020-04-21,860.8035
1.0,32.5,9.0,2020-04-22,839.287
1.0,32.5,9.0,2020-04-23,864.3233
1.0,32.5,9.0,2020-04-24,829.31586
1.0,32.5,9.0,2020-04-25,841.7387
1.0,32.5,9.0,2020-04-26,853.04474
1.0,32.5,9.0,2020-04-27,842.57104
1.0,32.5,9.0,2020-04-28,840.01514
1.0,32.5,9.0,2020-04-29,818.3732
1.0,32.5,9.0,2020-04-30,100.625114
1.0,32.5,9.0,2020-05-01,-133.70935
1.0,32.5,9.0,2020-05-02,786.7157
1.0,32.5,9.0,2020-05-03,162.36464
1.0,32.5,9.0,2020-05-04,785.1817
1.0,32.5,9.0,2020-05-05,847.16846
1.0,32.5,9.0,2020-05-06,823.43353
1.0,32.5,9.0,2020-05-07,-133.69563
1.0,32.5,9.0,2020-05-08,-133.70937
1.0,32.5,9.0,2020-05-09,794.421
1.0,32.5,9.0,2020-05-10,834.4673
1.0,32.5,9.0,2020-05-11,838.68994
1.0,32.5,9.0,2020-05-12,835.0004
1.0,32.5,9.0,2020-05-13,-133.70914
1.0,32.5,9.0,2020-05-14,-133.69804
1.0,32.5,9.0,2020-05-15,-41.316383
