lon,lat,lev,time,pe
1.0,32.5,8.0,2020-07-21,0.09602889
1.0,32.5,8.0,2020-07-22,0.2765343
1.0,32.5,8.0,2020-07-23,0.1400722
1.0,32.5,8.0,2020-07-24,0.17906137
1.0,32.5,8.0,2020-07-25,0.13646209
1.0,32.5,8.0,2020-07-26,0.16606498
1.0,32.5,8.0,2020-07-27,0.16895306
1.0,32.5,9.0,2020-04-01,0.50758123
1.0,32.5,9.0,2020-04-02,0.55884475
1.0,32.5,9.0,2020-04-03,0.53646207
1.0,32.5,9.0,2020-04-04,0.6209386
1.0,32.5,9.0,2020-04-05,0.5841155
1.0,32.5,9.0,2020-04-06,0.5407942
1.0,32.5,9.0,2020-04-07,0.48736462
1.0,32.5,9.0,2020-04-08,0.5270758
1.0,32.5,9.0,2020-04-09,0.55162454
1.0,32.5,9.0,2020-04-10,0.077256314
1.0,32.5,9.0,2020-04-11,0.30180505
1.0,32.5,9.0,2020-04-12,0.6158845
1.0,32.5,9.0,2020-04-13,0.6064982
1.0,32.5,9.0,2020-04-14,0.43537906
1.0,32.5,9.0,2020-04-15,0.5942238
1.0,32.5,9.0,2020-04-16,0.029602889
1.0,32.5,9.0,2020-04-17,0.16245487
1.0,32.5,9.0,2020-04-18,0.06498195
1.0,32.5,9.0,2020-04-19,0.4938628
1.0,32.5,9.0,2020-04-20,0.63249093
1.0,32.5,9.0,2020-04-21,0.6259928
1.0,32.5,9.0,2020-04-22,0.42021662
1.0,32.5,9.0,2020-04-23,0.62454873
1.0,32.5,9.0,2020-04-24,0.5595668
1.0,32.5,9.0,2020-04-25,0.60505414
1.0,32.5,9.0,2020-04-26,0.6173285
1.0,32.5,9.0,2020-04-27,0.58555955
1.0,32.5,9.0,2020-04-28,0.58483756
1.0,32.5,9.0,2020-04-29,0.5407942
1.0,32.5,9.0,2020-04-30,0.26787004
1.0,32.5,9.0,2020-05-01,0.27436823
1.0,32.5,9.0,2020-05-02,0.41444042
1.0,32.5,9.0,2020-05-03,0.26137185
1.0,32.5,9.0,2020-05-04,0.5906137
1.0,32.5,9.0,2020-05-05,0.6231047
1.0,32.5,9.0,2020-05-06,0.5935018
1.0,32.5,9.0,2020-05-07,0.032490976
1.0,32.5,9.0,2020-05-08,0.09675091
1.0,32.5,9.0,2020-05-09,0.59711194
1.0,32.5,9.0,2020-05-10,0.5985559
1.0,32.5,9.0,2020-05-11,0.61227435
1.0,32.5,9.0,2020-05-12,0.51696754
1.0,32.5,9.0,2020-05-13,0.020216605
1.0,32.5,9.0,2020-05-14,0.21155235
1.0,32.5,9.0,2020-05-15,0.17761734
1.0,32.5,9.0,2020-05-16,0.20577617
1.0,32.5,9.0,2020-05-17,0.09675091
1.0,32.5,9.0,2020-05-18,0.35090253
1.0,32.5,9.0,2020-05-19,0.599278
1.0,32.5,9.0,2020-05-20,0.5104693
1.0,32.5,9.0,2020-05-21,0.22238268
1.0,32.5,9.0,2020-05-22,0.2498195
1.0,32.5,9.0,2020-05-23,0.27797833
1.0,32.5,9.0,2020-05-24,0.17833935
1.0,32.5,9.0,2020-05-25,0.5790614
1.0,32.5,9.0,2020-05-26,0.5393502
1.0,32.5,9.0,2020-05-27,0.5472924
1.0,32.5,9.0,2020-05-28,0.27797833
1.0,32.5,9.0,2020-05-29,0.2541516
1.0,32.5,9.0,2020-05-30,0.599278
1.0,32.5,9.0,2020-05-31,0.17833935
1.0,32.5,9.0,2020-06-01,0.4259928
1.0,32.5,9.0,2020-06-02,0.35451263
1.0,32.5,9.0,2020-06-03,0.3761733
1.0,32.5,9.0,2020-06-04,0.53140795
1.0,32.5,9.0,2020-06-05,0.5631769
1.0,32.5,9.0,2020-06-06,0.5523466
1.0,32.5,9.0,2020-06-07,0.5631769
1.0,32.5,9.0,2020-06-08,0.2036101
1.0,32.5,9.0,2020-06-09,0.116245486
1.0,32.5,9.0,2020-06-10,0.117689535
1.0,32.5,9.0,2020-06-11,0.11696751
1.0,32.5,9.0,2020-06-12,0.58483756
1.0,32.5,9.0,2020-06-13,0.46137184
1.0,32.5,9.0,2020-06-14,0.36462092
1.0,32.5,9.0,2020-06-15,0.10974729
1.0,32.5,9.0,2020-06-16,0.3833935
1.0,32.5,9.0,2020-06-17,0.53862816
1.0,32.5,9.0,2020-06-18,0.5422383
1.0,32.5,9.0,2020-06-19,0.35740072
1.0,32.5,9.0,2020-06-20,0.51552343
1.0,32.5,9.0,2020-06-21,0.19494584
1.0,32.5,9.0,2020-06-22,0.16534296
1.0,32.5,9.0,2020-06-23,0.38555956
