lon,lat,lev,time,dni
1.0,32.5,8.0,2020-07-26,656.55536
1.0,32.5,8.0,2020-07-27,20.167126
1.0,32.5,9.0,2020-04-01,478.5837
1.0,32.5,9.0,2020-04-02,505.52786
1.0,32.5,9.0,2020-04-03,625.4457
1.0,32.5,9.0,2020-04-04,838.02783
1.0,32.5,9.0,2020-04-05,738.3612
1.0,32.5,9.0,2020-04-06,488.02762
1.0,32.5,9.0,2020-04-07,523.88684
1.0,32.5,9.0,2020-04-08,458.11023
1.0,32.5,9.0,2020-04-09,459.13663
1.0,32.5,9.0,2020-04-10,6.8071604
1.0,32.5,9.0,2020-04-11,226.1485
1.0,32.5,9.0,2020-04-12,827.02655
1.0,32.5,9.0,2020-04-13,744.83325
1.0,32.5,9.0,2020-04-14,369.82785
1.0,32.5,9.0,2020-04-15,606.19434
1.0,32.5,9.0,2020-04-16,0.0
1.0,32.5,9.0,2020-04-17,5.0010624
1.0,32.5,9.0,2020-04-18,0.0
1.0,32.5,9.0,2020-04-19,168.95
1.0,32.5,9.0,2020-04-20,743.6388
1.0,32.5,9.0,2020-04-21,776.5835
1.0,32.5,9.0,2020-04-22,323.51044
1.0,32.5,9.0,2020-04-23,864.55554
1.0,32.5,9.0,2020-04-24,620.30493
1.0,32.5,9.0,2020-04-25,787.0221
1.0,32.5,9.0,2020-04-26,721.0835
1.0,32.5,9.0,2020-04-27,708.9721
1.0,32.5,9.0,2020-04-28,712.3058
1.0,32.5,9.0,2020-04-29,716.2779
1.0,32.5,9.0,2020-04-30,81.84051
1.0,32.5,9.0,2020-05-01,160.92174
1.0,32.5,9.0,2020-05-02,258.3212
1.0,32.5,9.0,2020-05-03,164.11195
1.0,32.5,9.0,2020-05-04,549.8303
1.0,32.5,9.0,2020-05-05,786.6389
1.0,32.5,9.0,2020-05-06,743.9715
1.0,32.5,9.0,2020-05-07,0.0
1.0,32.5,9.0,2020-05-08,1.3334594
1.0,32.5,9.0,2020-05-09,710.4442
1.0,32.5,9.0,2020-05-10,798.30566
1.0,32.5,9.0,2020-05-11,842.5556
1.0,32.5,9.0,2020-05-12,606.2491
1.0,32.5,9.0,2020-05-13,0.0
1.0,32.5,9.0,2020-05-14,14.443563
1.0,32.5,9.0,2020-05-15,47.697548
1.0,32.5,9.0,2020-05-16,103.2456
1.0,32.5,9.0,2020-05-17,0.0
1.0,32.5,9.0,2020-05-18,767.3334
1.0,32.5,9.0,2020-05-19,602.4723
1.0,32.5,9.0,2020-05-20,432.65344
1.0,32.5,9.0,2020-05-21,25.221474
1.0,32.5,9.0,2020-05-22,160.06638
1.0,32.5,9.0,2020-05-23,20.889887
1.0,32.5,9.0,2020-05-24,9.222536
1.0,32.5,9.0,2020-05-25,694.5218
1.0,32.5,9.0,2020-05-26,391.77725
1.0,32.5,9.0,2020-05-27,501.28128
1.0,32.5,9.0,2020-05-28,74.1098
1.0,32.5,9.0,2020-05-29,49.976917
1.0,32.5,9.0,2020-05-30,683.72217
1.0,32.5,9.0,2020-05-31,22.778244
1.0,32.5,9.0,2020-06-01,260.10297
1.0,32.5,9.0,2020-06-02,214.75584
1.0,32.5,9.0,2020-06-03,271.2251
1.0,32.5,9.0,2020-06-04,448.47156
1.0,32.5,9.0,2020-06-05,645.33514
1.0,32.5,9.0,2020-06-06,659.41693
1.0,32.5,9.0,2020-06-07,736.055
1.0,32.5,9.0,2020-06-08,35.67094
1.0,32.5,9.0,2020-06-09,4.695389
1.0,32.5,9.0,2020-06-10,69.69087
1.0,32.5,9.0,2020-06-11,9.359863
1.0,32.5,9.0,2020-06-12,431.3889
1.0,32.5,9.0,2020-06-13,532.84674
1.0,32.5,9.0,2020-06-14,256.97757
1.0,32.5,9.0,2020-06-15,5.8888855
1.0,32.5,9.0,2020-06-16,105.3698
1.0,32.5,9.0,2020-06-17,567.0005
1.0,32.5,9.0,2020-06-18,667.4465
1.0,32.5,9.0,2020-06-19,780.08466
1.0,32.5,9.0,2020-06-20,524.5308
1.0,32.5,9.0,2020-06-21,70.94733
1.0,32.5,9.0,2020-06-22,15.943802
1.0,32.5,9.0,2020-06-23,682.4725
1.0,32.5,9.0,2020-06-24,264.81802
1.0,32.5,9.0,2020-06-25,276.5663
1.0,32.5,9.0,2020-06-26,0.111070745
1.0,32.5,9.0,2020-06-27,12.717868
1.0,32.5,9.0,2020-06-28,48.97279
1.0,32.5,9.0,2020-06-29,0.11102838
1.0,32.5,9.0,2020-06-30,1.0001231
1.0,32.5,9.0,2020-07-01,25.720016
1.0,32.5,9.0,2020-07-02,24.807219
1.0,32.5,9.0,2020-07-03,584.6123
1.0,32.5,9.0,2020-07-04,418.73132
1.0,32.5,9.0,2020-07-05,135.50832
1.0,32.5,9.0,2020-07-06,10.277805
1.0,32.5,9.0,2020-07-07,168.7955
1.0,32.5,9.0,2020-07-08,0.0
1.0,32.5,9.0,2020-07-09,0.0
1.0,32.5,9.0,2020-07-10,138.8398
1.0,32.5,9.0,2020-07-11,14.721407
1.0,32.5,9.0,2020-07-12,142.89757
1.0,32.5,9.0,2020-07-13,363.3414
1.0,32.5,9.0,2020-07-14,15.392255
1.0,32.5,9.0,2020-07-15,1.5554892
1.0,32.5,9.0,2020-07-16,12.416667
1.0,32.5,9.0,2020-07-17,427.2284
1.0,32.5,9.0,2020-07-18,20.0524
1.0,32.5,9.0,2020-07-19,0.0
1.0,32.5,9.0,2020-07-20,0.16655217
1.0,32.5,9.0,2020-07-21,18.880535
1.0,32.5,9.0,2020-07-22,360.76532
1.0,32.5,9.0,2020-07-23,50.915504
1.0,32.5,9.0,2020-07-24,21.806269
1.0,32.5,9.0,2020-07-25,165.54265
1.0,32.5,9.0,2020-07-26,62.96529
1.0,32.5,9.0,2020-07-27,204.42221
1.0,32.5,10.0,2020-04-01,381.36755
1.0,32.5,10.0,2020-04-02,596.30554
1.0,32.5,10.0,2020-04-03,697.00037
1.0,32.5,10.0,2020-04-04,895.30524
1.0,32.5,10.0,2020-04-05,763.02795
1.0,32.5,10.0,2020-04-06,595.2782
1.0,32.5,10.0,2020-04-07,612.94275
1.0,32.5,10.0,2020-04-08,520.2211
1.0,32.5,10.0,2020-04-09,503.62488
1.0,32.5,10.0,2020-04-10,6.7506404
1.0,32.5,10.0,2020-04-11,70.8493
1.0,32.5,10.0,2020-04-12,901.1664
1.0,32.5,10.0,2020-04-13,826.97217
1.0,32.5,10.0,2020-04-14,393.19672
1.0,32.5,10.0,2020-04-15,690.24976
1.0,32.5,10.0,2020-04-16,0.0
1.0,32.5,10.0,2020-04-17,24.112122
1.0,32.5,10.0,2020-04-18,0.0
1.0,32.5,10.0,2020-04-19,277.48422
1.0,32.5,10.0,2020-04-20,823.38806
1.0,32.5,10.0,2020-04-21,841.11084
1.0,32.5,10.0,2020-04-22,691.4994
1.0,32.5,10.0,2020-04-23,918.639
1.0,32.5,10.0,2020-04-24,722.277
1.0,32.5,10.0,2020-04-25,864.7776
1.0,32.5,10.0,2020-04-26,787.11115
1.0,32.5,10.0,2020-04-27,780.86096
1.0,32.5,10.0,2020-04-28,776.52783
1.0,32.5,10.0,2020-04-29,684.0251
1.0,32.5,10.0,2020-04-30,113.461945
1.0,32.5,10.0,2020-05-01,13.055356
1.0,32.5,10.0,2020-05-02,614.58386
1.0,32.5,10.0,2020-05-03,169.44826
1.0,32.5,10.0,2020-05-04,651.1083
1.0,32.5,10.0,2020-05-05,855.3611
1.0,32.5,10.0,2020-05-06,726.52313
