longitude,latitude,time,u10,v10,d2m,t2m,cdir,rsn,stl4,tcc,tp,fdir
126.4,34.74,2019-01-01 06:00:00,6.102819,-6.6583643,270.33887,276.1464,1145294.1,120.0837,283.17758,0.95942503,4.1973777e-05,144725.75
126.4,34.74,2019-01-01 07:00:00,5.7680793,-6.9127736,270.30313,275.9903,731399.75,120.11609,283.1756,0.97952175,4.4282526e-05,57417.625
126.4,34.74,2019-01-01 08:00:00,5.3513994,-6.98588,269.62653,275.69623,271023.0,120.0792,283.1739,0.9831688,2.8542243e-05,8545.625
126.4,34.74,2019-01-01 09:00:00,5.131291,-7.2285924,269.34183,275.6089,12870.375,120.003624,283.17276,0.9939878,1.8258579e-05,393.75
126.4,34.74,2019-01-01 10:00:00,4.882416,-7.040953,269.00583,275.5306,0.125,117.82899,283.2489,0.97988796,1.5320722e-05,-0.125
126.4,34.74,2019-01-01 11:00:00,4.5280633,-7.3538475,268.83466,275.53262,0.125,117.908165,283.24863,0.9969939,1.280196e-05,-0.125
126.4,34.74,2019-01-01 12:00:00,4.3389006,-7.802232,268.86346,275.52408,0.125,117.96484,283.24692,0.9678941,9.864103e-06,-0.125
126.4,34.74,2019-01-01 13:00:00,3.975831,-7.6950097,268.75803,275.6124,0.125,117.988235,283.2452,0.97025925,6.5062195e-06,-0.125
126.4,34.74,2019-01-01 14:00:00,3.587481,-7.6467595,268.54306,275.53662,0.125,117.98374,283.2421,0.92339736,3.77791e-06,-0.125
126.4,34.74,2019-01-01 15:00:00,3.2183094,-7.4635067,268.55804,275.63397,0.125,117.969345,283.2404,0.9621412,3.77791e-06,-0.125
126.4,34.74,2019-01-01 16:00:00,2.8425994,-7.029256,268.52692,275.69922,0.125,117.91806,283.23953,0.95115435,5.2470714e-06,-0.125
126.4,34.74,2019-01-01 17:00:00,2.5283456,-6.939579,268.471,275.46185,0.125,117.84248,283.23755,0.9423802,7.5553544e-06,-0.125
126.4,34.74,2019-01-01 18:00:00,2.5667014,-6.705152,268.50214,275.41617,0.125,117.74891,283.2347,0.91695786,7.345807e-06,-0.125
126.4,34.74,2019-01-01 19:00:00,2.2899313,-6.5077653,268.5707,275.37704,0.125,117.62745,283.233,0.8339462,0.000103255734,-0.125
126.4,34.74,2019-01-01 20:00:00,1.9778571,-6.293808,268.49924,275.19183,0.125,117.49159,283.22986,0.8643279,0.00015236484,-0.125
126.4,34.74,2019-01-02 06:00:00,1.8658414,-6.6705484,269.24097,276.96744,1176977.8,115.88287,283.21423,0.963011,0.0,321586.62
126.4,34.74,2019-01-02 07:00:00,1.8854551,-6.2285,269.2156,276.717,745647.56,115.88287,283.2114,0.95060503,1.0496005e-06,195173.0
126.4,34.74,2019-01-02 08:00:00,1.9164009,-5.561772,268.9937,275.9883,281610.44,115.888275,283.2097,0.889384,0.0,68917.0
126.4,34.74,2019-01-02 09:00:00,1.9669604,-5.309312,268.72806,275.72833,14602.125,115.888275,283.20685,0.862573,0.0,3111.0
126.4,34.74,2019-01-02 10:00:00,0.5469346,-4.5724015,269.02313,275.12158,0.125,115.25487,282.68747,0.69123954,0.0,-0.125
126.4,34.74,2019-01-02 11:00:00,0.96405077,-4.4627423,268.9966,275.05634,0.125,115.37183,282.68576,0.44283032,0.0,-0.125
126.4,34.74,2019-01-02 12:00:00,1.4452381,-4.9447556,269.0214,274.98358,0.125,115.37183,282.68292,0.2555201,0.0,-0.125
126.4,34.74,2019-01-02 13:00:00,1.4339058,-5.1850314,269.05252,274.8857,0.125,115.37183,282.68378,0.5703081,0.0,-0.125
126.4,34.74,2019-01-02 14:00:00,1.1104991,-5.41166,269.00467,274.68195,0.125,115.36733,282.68207,0.7054461,0.0,-0.125
126.4,34.74,2019-01-02 15:00:00,0.90695333,-5.517908,268.90787,274.54544,0.125,115.36733,282.67896,0.7097798,0.0,-0.125
126.4,34.74,2019-01-02 16:00:00,0.88908315,-5.281044,268.8681,274.35925,0.125,115.36733,282.67725,0.74046665,0.0,-0.125
126.4,34.74,2019-01-02 17:00:00,1.1035254,-5.411173,268.92572,274.20367,0.125,115.37183,282.6744,0.8377917,0.0,-0.125
