longitude,latitude,time,u10,v10,d2m,t2m,cdir,rsn,stl4,tcc,tp,fdir
126.4,34.74,2021-01-01 06:00:00,5.8581047,-2.2813225,268.37308,277.039,1201538.9,119.88246,283.46457,0.87705433,3.4449622e-05,256145.06
126.4,34.74,2021-01-01 07:00:00,5.4132237,-2.2712374,268.50027,276.98022,769235.4,120.34174,283.46243,0.83353424,8.36635e-05,220217.5
126.4,34.74,2021-01-01 08:00:00,4.662265,-2.0164826,268.4514,276.59604,288730.75,120.693085,283.4594,0.8764439,8.229632e-05,144531.25
126.4,34.74,2021-01-01 09:00:00,4.36104,-1.709549,268.46317,276.30908,14587.125,120.99786,283.4591,0.7350342,8.421019e-05,3635.875
126.4,34.74,2021-01-01 10:00:00,2.8300028,-2.2357209,268.95013,275.64786,-0.125,119.90998,283.5892,0.8756962,0.000109910965,0.125
126.4,34.74,2021-01-01 11:00:00,2.4488611,-2.0015743,269.5537,276.15543,-0.125,119.85812,283.58798,0.930493,8.667167e-05,0.125
126.4,34.74,2021-01-01 12:00:00,2.6048121,-1.634131,269.88226,276.54773,-0.125,119.751236,283.58527,0.969832,3.499631e-05,0.125
126.4,34.74,2021-01-01 13:00:00,1.9845674,-1.6437775,270.1714,277.20547,-0.125,119.56816,283.58496,0.8830513,0.00015392993,0.125
126.4,34.74,2021-01-01 14:00:00,2.5045118,-1.511796,270.6207,277.22992,-0.125,119.385086,283.58194,0.86115396,3.9371662e-05,0.125
126.4,34.74,2021-01-01 15:00:00,3.6210818,-1.8169757,271.29666,277.2928,-0.125,119.14592,283.58194,0.6058932,4.101172e-05,0.125
126.4,34.74,2021-01-01 16:00:00,4.8463645,-2.8815968,271.7065,276.741,-0.125,118.962845,283.5789,0.69262815,6.8899244e-05,0.125
126.4,34.74,2021-01-01 17:00:00,4.8838964,-3.5485196,271.60992,276.5623,-0.125,118.78082,283.57678,0.70755196,7.6828524e-05,0.125
126.4,34.74,2021-01-01 18:00:00,4.770654,-3.7905588,271.6906,276.79163,-0.125,118.62526,283.57556,0.7075061,0.000117840245,0.125
126.4,34.74,2021-01-01 19:00:00,4.840541,-4.0663605,272.167,276.63446,-0.125,118.51837,283.57343,0.53576064,0.0003182497,0.125
126.4,34.74,2021-01-01 20:00:00,4.5742593,-4.4605513,272.1758,276.63797,-0.125,118.36281,283.57132,0.55436194,0.00028024614,0.125
126.4,34.74,2021-01-02 06:00:00,-0.49511778,-6.414841,269.1621,275.50992,1174069.0,114.841995,283.55463,0.7739917,3.827736e-06,1007456.75
126.4,34.74,2021-01-02 07:00:00,0.22445685,-6.306537,269.16095,275.5361,767332.7,114.97322,283.55252,0.9384737,1.6409904e-06,632113.6
126.4,34.74,2021-01-02 08:00:00,1.1064534,-6.5713773,268.6245,275.38068,283379.5,115.05365,283.5516,0.9543894,2.734363e-06,40618.875
126.4,34.74,2021-01-02 09:00:00,0.4771492,-6.5082364,268.2977,275.63913,15062.75,115.048355,283.54916,0.8013215,5.4668635e-07,1759.25
126.4,34.74,2021-01-02 10:00:00,-0.535885,-5.2406006,268.2241,274.9482,-0.125,115.0346,283.64987,0.4265637,0.0,0.125
126.4,34.74,2021-01-02 11:00:00,-1.0642418,-5.167375,268.24,274.5076,-0.125,115.0346,283.64957,0.34970167,0.0,0.125
126.4,34.74,2021-01-02 12:00:00,-1.5285355,-4.689436,268.1075,274.22702,-0.125,115.03883,283.64682,0.31462014,0.0,0.125
126.4,34.74,2021-01-02 13:00:00,-2.0015655,-4.2772675,268.18994,273.92145,-0.125,115.03883,283.6444,0.50519586,0.0,0.125
126.4,34.74,2021-01-02 14:00:00,-2.0407147,-3.8497531,268.28592,273.43484,-0.125,115.03883,283.6435,0.76395094,0.0,0.125
126.4,34.74,2021-01-02 15:00:00,-1.7246066,-3.2459707,268.1976,272.90515,-0.125,115.04413,283.64136,1.0,0.0,0.125
126.4,34.74,2021-01-02 16:00:00,-1.6534258,-3.0727725,268.23587,272.94705,-0.125,115.04413,283.64047,0.9905391,0.0,0.125
126.4,34.74,2021-01-02 17:00:00,-1.6543964,-3.4621398,268.144,273.0291,-0.125,115.04413,283.63803,0.992828,0.0,0.125
126.4,34.74,2021-01-02 18:00:00,-1.7268716,-3.9199095,268.14047,273.1572,-0.125,115.04413,283.63593,0.9969939,5.4668635e-07,0.125
126.4,34.74,2021-01-02 19:00:00,-1.6126586,-4.343916,268.19464,273.22937,-0.125,115.04413,283.635,0.984298,8.475967e-06,0.125
126.4,34.74,2021-01-02 20:00:00,-1.5220646,-4.482475,268.1022,273.27127,-0.125,115.03883,283.63287,0.9969939,1.421757e-05,0.125
126.4,34.74,2021-01-03 06:00:00,0.26813608,-3.7717042,269.294,276.63504,1196980.4,111.386795,283.6168,1.0,0.0,751272.6
126.4,34.74,2021-01-03 07:00:00,-0.31943023,-3.3323507,269.44357,276.64554,761545.4,111.80481,283.61438,1.0,0.0,25958.625
126.4,34.74,2021-01-03 08:00:00,-0.8927604,-2.4260197,269.70444,276.20956,291862.25,112.212234,283.61136,0.99964905,2.7380884e-07,2775.75
126.4,34.74,2021-01-03 09:00:00,-1.5220646,-2.0028899,269.81927,275.88303,16727.625,112.60167,283.61044,0.96830606,2.7380884e-07,78.25
126.4,34.74,2021-01-03 10:00:00,-1.9530329,-1.8915167,269.61554,274.48022,-0.125,107.73053,283.39603,0.94932324,0.0,0.125
126.4,34.74,2021-01-03 11:00:00,-1.8219951,-1.6516701,269.53427,274.37894,-0.125,107.960175,283.3939,1.0,0.0,0.125
126.4,34.74,2021-01-03 12:00:00,-1.723636,-1.4771564,269.49835,274.4069,-0.125,108.176056,283.39267,1.0,0.0,0.125
126.4,34.74,2021-01-03 13:00:00,-1.645337,-1.1754845,269.4895,274.2113,-0.125,108.39194,283.39026,1.0,0.0,0.125
126.4,34.74,2021-01-03 14:00:00,-1.5243295,-1.7485734,269.47775,273.8708,-0.125,108.60253,283.38934,1.0,0.0,0.125
126.4,34.74,2021-01-03 15:00:00,-1.6074816,-2.1173322,269.4059,273.65253,-0.125,108.80889,283.38663,0.98702943,0.0,0.125
126.4,34.74,2021-01-03 16:00:00,-1.5285355,-2.3541095,269.3164,273.702,-0.125,109.00572,283.3842,0.8898113,0.0,0.125
126.4,34.74,2021-01-03 17:00:00,-1.3997627,-2.9521916,269.16742,273.202,-0.125,109.20256,283.38388,0.5720629,0.0,0.125
126.4,34.74,2021-01-03 18:00:00,-1.6712209,-3.0569875,268.9784,273.21365,-0.125,109.385635,283.38086,0.16567227,0.0,0.125
126.4,34.74,2021-01-03 19:00:00,-1.9721223,-2.638681,268.72342,272.98315,-0.125,109.57718,283.38055,0.094502,0.0,0.125
126.4,34.74,2021-01-03 20:00:00,-2.4525938,-2.0585763,268.56973,272.71948,-0.125,109.76555,283.37842,0.061938256,0.0,0.125
126.4,34.74,2021-01-04 06:00:00,0.33090472,1.4628289,272.08337,279.22583,1182234.6,110.9508,283.36145,0.42970717,0.0,980520.9
126.4,34.74,2021-01-04 07:00:00,-0.14018369,1.304539,272.50204,279.32248,765667.9,110.9508,283.359,0.17382082,0.0,586490.75
126.4,34.74,2021-01-04 08:00:00,-0.11785877,1.9170909,273.2758,278.50873,295746.88,110.9508,283.3569,0.69365054,0.0,276083.06
126.4,34.74,2021-01-04 09:00:00,0.03841579,2.736165,273.27048,278.84808,17996.0,110.9508,283.35568,0.8928784,0.0,16810.5
126.4,34.74,2021-01-04 10:00:00,-0.6672462,2.2402477,273.2575,277.74158,-0.125,112.50326,283.39603,0.9417546,2.7380884e-07,0.125
126.4,34.74,2021-01-04 11:00:00,0.030650616,3.061953,273.72153,277.87485,-0.125,112.84507,283.3939,0.97808737,1.3671815e-06,0.125
126.4,34.74,2021-01-04 12:00:00,0.4289403,3.161049,274.15903,278.22293,-0.125,113.182655,283.39267,0.9979094,7.655472e-06,0.125
126.4,34.74,2021-01-04 13:00:00,1.396354,3.1531563,274.07425,278.4121,-0.125,113.534,283.39056,0.9913174,4.265178e-05,0.125
126.4,34.74,2021-01-04 14:00:00,2.620666,2.1266823,274.2709,278.53375,-0.125,113.90439,283.38934,0.98844856,1.0933727e-06,0.125
126.4,34.74,2021-01-04 15:00:00,3.6204348,0.78889036,274.28094,278.71945,-0.125,114.28959,283.38724,0.9736316,8.748844e-06,0.125
126.4,34.74,2021-01-04 16:00:00,4.765154,-1.4048078,274.15845,279.03784,-0.125,114.654686,283.3851,0.94346356,2.6521273e-05,0.125
126.4,34.74,2021-01-04 17:00:00,4.5173144,-3.188092,274.53708,278.98022,-0.125,114.93618,283.38388,0.9664444,5.3041615e-05,0.125
126.4,34.74,2021-01-04 18:00:00,3.388773,-4.1365166,275.54224,278.3504,-0.125,115.048355,283.38147,0.9235958,0.00029801764,0.125
126.4,34.74,2021-01-04 19:00:00,2.179668,-4.2926145,275.66824,278.17987,-0.125,115.048355,283.37872,0.46980911,1.257658e-05,0.125
126.4,34.74,2021-01-04 20:00:00,1.4905069,-4.6771584,275.29608,278.0134,-0.125,115.05365,283.37753,0.27720386,2.7380884e-07,0.125
126.4,34.74,2021-01-05 06:00:00,-0.17092097,-9.61265,269.42416,275.48605,1203838.0,115.08116,283.36084,1.0,5.4668635e-07,38234.125
126.4,34.74,2021-01-05 07:00:00,-0.22042406,-9.268446,268.9666,275.44064,784298.25,115.08116,283.3587,1.0,5.4668635e-07,27248.75
126.4,34.74,2021-01-05 08:00:00,-0.010763764,-8.668611,268.3248,274.86032,305894.5,115.08116,283.3575,0.995178,5.4668635e-07,11532.875
126.4,34.74,2021-01-05 09:00:00,0.17754215,-8.047728,267.96854,274.61816,19343.75,115.08646,283.35507,1.0,1.3671815e-06,977.375
126.4,34.74,2021-01-05 10:00:00,1.2659634,-7.537341,267.70297,273.72528,-0.125,115.08646,283.40573,1.0,1.0933727e-06,0.125
126.4,34.74,2021-01-05 11:00:00,1.3517041,-7.1659513,267.59286,273.61353,-0.125,115.08646,283.4036,1.0,1.913868e-06,0.125
126.4,34.74,2021-01-05 12:00:00,1.175693,-6.862964,267.491,273.48373,-0.125,115.076935,283.40057,0.9960783,2.734363e-06,0.125
