지점,1시간평균 미세먼지농도(㎍/㎥)
156.0,34.0
156.0,34.0
156.0,39.0
156.0,33.5
156.0,28.0
156.0,23.0
156.0,23.0
156.0,18.0
156.0,19.0
156.0,15.0
156.0,13.0
156.0,6.0
156.0,7.5
156.0,9.0
156.0,6.0
156.0,3.0
156.0,5.0
156.0,10.0
156.0,4.0
156.0,19.0
156.0,28.0
156.0,25.0
156.0,20.0
156.0,16.0
156.0,17.666666666666664
156.0,19.333333333333332
156.0,21.0
156.0,22.666666666666664
156.0,24.333333333333332
156.0,26.0
156.0,27.666666666666664
156.0,29.333333333333332
156.0,31.0
156.0,51.0
156.0,35.0
156.0,39.0
156.0,35.0
156.0,38.0
156.0,36.0
156.0,36.0
156.0,38.0
156.0,37.0
156.0,37.0
156.0,43.0
156.0,41.0
156.0,33.0
156.0,33.0
156.0,39.0
156.0,51.0
156.0,42.0
156.0,52.0
156.0,58.0
156.0,66.0
156.0,77.0
156.0,97.0
156.0,103.0
156.0,109.0
156.0,103.0
156.0,82.0
156.0,61.0
156.0,59.0
156.0,63.0
156.0,61.0
156.0,63.0
156.0,65.0
156.0,57.0
156.0,63.0
156.0,83.0
156.0,68.0
156.0,67.0
156.0,62.0
156.0,47.0
156.0,44.0
156.0,35.0
156.0,35.0
156.0,33.0
156.0,33.0
156.0,38.0
156.0,38.0
156.0,45.0
156.0,51.0
156.0,53.0
156.0,40.0
156.0,44.0
156.0,40.0
156.0,45.0
156.0,43.0
156.0,45.0
156.0,49.0
156.0,54.0
156.0,51.0
156.0,68.0
156.0,65.0
156.0,67.0
156.0,64.0
156.0,67.0
156.0,65.0
156.0,57.0
156.0,55.0
156.0,68.0
156.0,60.0
156.0,57.0
156.0,49.0
156.0,30.0
156.0,39.0
156.0,43.0
156.0,45.0
156.0,43.0
156.0,46.0
156.0,29.0
156.0,22.0
156.0,25.0
156.0,27.0
156.0,30.0
156.0,34.0
156.0,32.0
156.0,40.0
156.0,40.0
156.0,37.0
156.0,36.0
156.0,38.0
156.0,37.0
156.0,44.0
156.0,35.0
156.0,38.0
156.0,30.0
156.0,40.0
156.0,36.0
156.0,30.0
156.0,35.0
156.0,35.0
156.0,42.0
156.0,35.0
156.0,44.0
156.0,35.0
156.0,33.0
156.0,30.0
156.0,31.0
156.0,29.0
156.0,35.0
156.0,40.0
156.0,36.0
156.0,32.0
156.0,38.0
156.0,38.0
156.0,38.0
156.0,38.0
156.0,41.0
156.0,40.266666666666666
156.0,39.53333333333333
156.0,38.8
156.0,38.06666666666666
156.0,37.33333333333333
156.0,36.6
156.0,35.86666666666667
156.0,35.13333333333333
156.0,34.4
156.0,33.666666666666664
156.0,32.93333333333333
156.0,32.2
156.0,31.466666666666665
156.0,30.733333333333334
156.0,30.0
156.0,29.266666666666666
156.0,28.53333333333333
156.0,27.799999999999997
156.0,27.066666666666663
156.0,26.333333333333332
156.0,25.599999999999998
156.0,24.866666666666667
