longitude,latitude,time,d2m,t2m
126.4,34.74,2013-01-01 00:00:00,272.74417,277.63846
126.4,34.74,2013-01-01 01:00:00,272.96597,277.47827
126.4,34.74,2013-01-01 02:00:00,274.26266,278.3948
126.4,34.74,2013-01-01 03:00:00,274.18707,278.52026
126.4,34.74,2013-01-01 04:00:00,272.9672,278.7261
126.4,34.74,2013-01-01 05:00:00,271.39917,279.0385
126.4,34.74,2013-01-01 06:00:00,270.84158,279.192
126.4,34.74,2013-01-01 07:00:00,270.4364,279.1652
126.4,34.74,2013-01-01 08:00:00,270.17743,278.57935
126.4,34.74,2013-01-01 09:00:00,270.1328,278.39847
126.4,34.74,2013-01-01 10:00:00,270.33603,278.09335
126.4,34.74,2013-01-01 11:00:00,270.33417,278.46484
126.4,34.74,2013-01-01 12:00:00,270.64642,278.87225
126.4,34.74,2013-01-01 13:00:00,271.11728,278.84183
126.4,34.74,2013-01-01 14:00:00,271.47784,278.70905
126.4,34.74,2013-01-01 15:00:00,271.92825,278.7663
126.4,34.74,2013-01-01 16:00:00,272.3272,278.3047
126.4,34.74,2013-01-01 17:00:00,272.35324,277.86865
126.4,34.74,2013-01-01 18:00:00,272.24173,276.95334
126.4,34.74,2013-01-01 19:00:00,272.27396,275.79684
126.4,34.74,2013-01-01 20:00:00,270.5727,274.60748
126.4,34.74,2013-01-01 21:00:00,269.56036,274.18118
126.4,34.74,2013-01-01 22:00:00,268.0673,273.75854
126.4,34.74,2013-01-01 23:00:00,267.5853,273.7354
126.4,34.74,2013-01-02 00:00:00,267.28235,273.8237
126.4,34.74,2013-01-02 01:00:00,266.96143,273.82068
126.4,34.74,2013-01-02 02:00:00,266.27188,274.44122
126.4,34.74,2013-01-02 03:00:00,265.97327,274.55695
126.4,34.74,2013-01-02 04:00:00,265.98068,274.47656
126.4,34.74,2013-01-02 05:00:00,266.10458,274.4242
126.4,34.74,2013-01-02 06:00:00,266.28055,274.39435
126.4,34.74,2013-01-02 07:00:00,266.32144,274.26462
126.4,34.74,2013-01-02 08:00:00,265.8227,273.55515
126.4,34.74,2013-01-02 09:00:00,265.65915,273.42603
126.4,34.74,2013-01-02 10:00:00,265.42743,272.82617
126.4,34.74,2013-01-02 11:00:00,265.44788,272.6575
126.4,34.74,2013-01-02 12:00:00,265.44354,272.41086
126.4,34.74,2013-01-02 13:00:00,265.28247,272.1843
126.4,34.74,2013-01-02 14:00:00,264.75464,271.79758
126.4,34.74,2013-01-02 15:00:00,264.48328,271.7915
126.4,34.74,2013-01-02 16:00:00,264.3835,271.90356
126.4,34.74,2013-01-02 17:00:00,264.61462,272.05215
126.4,34.74,2013-01-02 18:00:00,264.75525,272.32254
126.4,34.74,2013-01-02 19:00:00,265.12448,272.44922
126.4,34.74,2013-01-02 20:00:00,265.4869,272.02353
126.4,34.74,2013-01-02 21:00:00,265.76013,271.8591
126.4,34.74,2013-01-02 22:00:00,265.34256,271.1667
126.4,34.74,2013-01-02 23:00:00,265.27936,270.86523
126.4,34.74,2013-01-03 00:00:00,264.98013,270.55096
126.4,34.74,2013-01-03 01:00:00,265.0043,270.13504
126.4,34.74,2013-01-03 02:00:00,264.99313,270.57535
126.4,34.74,2013-01-03 03:00:00,264.95288,270.6813
126.4,34.74,2013-01-03 04:00:00,264.97272,270.83963
126.4,34.74,2013-01-03 05:00:00,265.28372,271.3439
126.4,34.74,2013-01-03 06:00:00,265.44418,271.5747
126.4,34.74,2013-01-03 07:00:00,265.2614,272.06006
126.4,34.74,2013-01-03 08:00:00,265.0396,272.08078
126.4,34.74,2013-01-03 09:00:00,264.9603,272.28784
126.4,34.74,2013-01-03 10:00:00,264.6518,271.93643
126.4,34.74,2013-01-03 11:00:00,264.76144,272.029
126.4,34.74,2013-01-03 12:00:00,264.85004,272.01987
126.4,34.74,2013-01-03 13:00:00,264.99872,272.082
126.4,34.74,2013-01-03 14:00:00,265.29797,271.85178
126.4,34.74,2013-01-03 15:00:00,265.4609,271.65204
126.4,34.74,2013-01-03 16:00:00,265.58914,271.41452
126.4,34.74,2013-01-03 17:00:00,265.51355,270.9182
126.4,34.74,2013-01-03 18:00:00,265.56436,270.6411
126.4,34.74,2013-01-03 19:00:00,265.73163,270.31775
126.4,34.74,2013-01-03 20:00:00,265.679,269.8013
126.4,34.74,2013-01-03 21:00:00,265.60712,269.39938
126.4,34.74,2013-01-03 22:00:00,265.6164,269.18137
126.4,34.74,2013-01-03 23:00:00,265.4987,268.8105
126.4,34.74,2013-01-04 00:00:00,265.41876,268.63388
126.4,34.74,2013-01-04 01:00:00,265.42496,268.9268
126.4,34.74,2013-01-04 02:00:00,265.31964,270.71844
126.4,34.74,2013-01-04 03:00:00,265.20132,271.53513
126.4,34.74,2013-01-04 04:00:00,265.17404,271.9139
126.4,34.74,2013-01-04 05:00:00,265.44913,272.64166
126.4,34.74,2013-01-04 06:00:00,265.40515,272.67514
126.4,34.74,2013-01-04 07:00:00,265.3915,272.54727
126.4,34.74,2013-01-04 08:00:00,265.4107,271.94315
126.4,34.74,2013-01-04 09:00:00,265.69385,271.76837
126.4,34.74,2013-01-04 10:00:00,265.7372,270.83295
126.4,34.74,2013-01-04 11:00:00,265.76324,270.74646
126.4,34.74,2013-01-04 12:00:00,265.7149,270.593
126.4,34.74,2013-01-04 13:00:00,265.69138,270.50592
126.4,34.74,2013-01-04 14:00:00,265.76324,270.31955
126.4,34.74,2013-01-04 15:00:00,265.83325,270.30737
126.4,34.74,2013-01-04 16:00:00,265.82086,270.4858
126.4,34.74,2013-01-04 17:00:00,265.73782,270.44806
126.4,34.74,2013-01-04 18:00:00,265.78366,270.4578
126.4,34.74,2013-01-04 19:00:00,265.93237,270.52905
126.4,34.74,2013-01-04 20:00:00,266.0823,270.6539
126.4,34.74,2013-01-04 21:00:00,266.19504,270.6338
126.4,34.74,2013-01-04 22:00:00,265.68454,270.51932
126.4,34.74,2013-01-04 23:00:00,265.44168,270.21054
126.4,34.74,2013-01-05 00:00:00,265.34134,270.0912
126.4,34.74,2013-01-05 01:00:00,265.55878,270.50958
126.4,34.74,2013-01-05 02:00:00,266.43915,273.05334
126.4,34.74,2013-01-05 03:00:00,266.498,273.68
126.4,34.74,2013-01-05 04:00:00,266.90628,274.09958
126.4,34.74,2013-01-05 05:00:00,268.21475,274.82916
126.4,34.74,2013-01-05 06:00:00,268.59204,275.14948
126.4,34.74,2013-01-05 07:00:00,268.5276,275.5563
126.4,34.74,2013-01-05 08:00:00,268.97244,275.10504
126.4,34.74,2013-01-05 09:00:00,268.877,274.89432
126.4,34.74,2013-01-05 10:00:00,268.56787,274.71893
126.4,34.74,2013-01-05 11:00:00,268.30518,274.5198
126.4,34.74,2013-01-05 12:00:00,267.99915,274.2153
126.4,34.74,2013-01-05 13:00:00,267.4936,273.66965
126.4,34.74,2013-01-05 14:00:00,267.36722,273.27805
126.4,34.74,2013-01-05 15:00:00,267.35236,273.2135
126.4,34.74,2013-01-05 16:00:00,267.54813,273.3493
126.4,34.74,2013-01-05 17:00:00,267.79468,273.57465
126.4,34.74,2013-01-05 18:00:00,267.8901,273.7068
126.4,34.74,2013-01-05 19:00:00,268.11685,273.9729
126.4,34.74,2013-01-05 20:00:00,268.5022,274.27618
126.4,34.74,2013-01-05 21:00:00,268.81693,274.43454
126.4,34.74,2013-01-05 22:00:00,269.10376,274.49542
126.4,34.74,2013-01-05 23:00:00,269.118,274.29202
126.4,34.74,2013-01-06 00:00:00,269.3398,274.26035
126.4,34.74,2013-01-06 01:00:00,269.5709,274.08435
126.4,34.74,2013-01-06 02:00:00,269.43088,275.27252
126.4,34.74,2013-01-06 03:00:00,269.3014,275.78223
126.4,34.74,2013-01-06 04:00:00,269.36893,275.9028
126.4,34.74,2013-01-06 05:00:00,269.27353,276.1452
126.4,34.74,2013-01-06 06:00:00,269.27786,276.18356
126.4,34.74,2013-01-06 07:00:00,269.3237,276.09708
126.4,34.74,2013-01-06 08:00:00,269.31317,275.31027
126.4,34.74,2013-01-06 09:00:00,269.41168,275.1891
126.4,34.74,2013-01-06 10:00:00,269.08395,274.27924
126.4,34.74,2013-01-06 11:00:00,268.86276,274.11542
126.4,34.74,2013-01-06 12:00:00,268.79587,274.0192
126.4,34.74,2013-01-06 13:00:00,268.7996,273.85904
126.4,34.74,2013-01-06 14:00:00,268.69675,273.3767
126.4,34.74,2013-01-06 15:00:00,268.63663,273.2324
126.4,34.74,2013-01-06 16:00:00,268.67505,273.2208
126.4,34.74,2013-01-06 17:00:00,268.6224,273.07343
126.4,34.74,2013-01-06 18:00:00,268.51398,272.98026
126.4,34.74,2013-01-06 19:00:00,268.42413,272.94556
126.4,34.74,2013-01-06 20:00:00,268.2544,272.6861
126.4,34.74,2013-01-06 21:00:00,268.26987,272.54605
126.4,34.74,2013-01-06 22:00:00,268.19986,272.7257
126.4,34.74,2013-01-06 23:00:00,268.12057,272.6715
126.4,34.74,2013-01-07 00:00:00,267.7693,272.63495
126.4,34.74,2013-01-07 01:00:00,267.13242,272.54907
126.4,34.74,2013-01-07 02:00:00,266.6541,273.75125
126.4,34.74,2013-01-07 03:00:00,266.78607,274.26584
126.4,34.74,2013-01-07 04:00:00,266.92053,274.59286
126.4,34.74,2013-01-07 05:00:00,266.90256,275.18604
126.4,34.74,2013-01-07 06:00:00,266.98807,275.18726
126.4,34.74,2013-01-07 07:00:00,266.7136,275.01367
126.4,34.74,2013-01-07 08:00:00,266.99796,274.33954
126.4,34.74,2013-01-07 09:00:00,267.14603,274.01553
126.4,34.74,2013-01-07 10:00:00,267.0401,273.47537
126.4,34.74,2013-01-07 11:00:00,267.1287,273.45224
126.4,34.74,2013-01-07 12:00:00,267.27985,273.5119
126.4,34.74,2013-01-07 13:00:00,267.35236,273.46927
126.4,34.74,2013-01-07 14:00:00,267.67203,273.08987
126.4,34.74,2013-01-07 15:00:00,267.80646,272.98816
126.4,34.74,2013-01-07 16:00:00,267.95947,272.94434
126.4,34.74,2013-01-07 17:00:00,268.2866,272.67514
