features,mae,mse,rmse,r2
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",715839.8267829085,1163481919095.7158,1078648.1906051277,0.8949037024175086
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",692955.711889337,1081871180535.0295,1040130.3670862751,0.9022755285928282
"['Vapor_pressure(hPa)', 'sunshine(hr)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",700220.7758603231,1106364291958.7803,1051838.5294135124,0.9000630873982867
"['Vapor_pressure(hPa)', 'Snowfall(cm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",703806.6413255201,1076949660781.1667,1037761.8516698168,0.9027200851399657
"['Vapor_pressure(hPa)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",690240.6364390091,1072456713553.347,1035594.8597561438,0.903125929108082
"['Vapor_pressure(hPa)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",746728.3607797896,1222440092915.84,1105640.1281229984,0.8895780624750024
"['Vapor_pressure(hPa)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",615389.1086795344,895490908042.1058,946303.8138156824,0.9191110945435619
"['Vapor_pressure(hPa)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",698216.8201501113,1112574000046.3323,1054786.2342893616,0.8995021699329109
"['Vapor_pressure(hPa)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",632549.8574669941,1009613486881.4233,1004795.246247425,0.9088025024548252
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",693187.7804523668,1087814573920.9114,1042983.4964758126,0.9017386671000274
"['Dew_Point(C)', 'sunshine(hr)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",700267.5352161688,1105624585613.9807,1051486.8451930252,0.9001299044212767
"['Dew_Point(C)', 'Snowfall(cm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",701713.9213299626,1070098451807.0656,1034455.6306613955,0.9033389488157344
"['Dew_Point(C)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",690198.3322170295,1072881792987.5052,1035800.0738499226,0.9030875320569759
"['Dew_Point(C)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",747850.0225335641,1232929043699.4475,1110373.3803092758,0.8886306047837484
"['Dew_Point(C)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",613956.466430638,888848847172.0352,942787.8060157732,0.9197110660551987
"['Dew_Point(C)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",697987.4369700096,1115410458174.0042,1056129.9437919578,0.8992459551670657
"['Dew_Point(C)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",632080.7329090245,1011081249898.3888,1005525.3601468183,0.9086699207135194
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",681093.0211098067,1040913927359.8693,1020251.8940731594,0.9059751612190091
"['Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",683784.4303904437,1031879401123.36,1015814.6490001805,0.906791242021199
"['Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",675524.3970997417,1016028388756.011,1007982.3355376874,0.9082230500152908
"['Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",724547.9335763345,1157585278925.4084,1075911.3713152253,0.8954363407335018
"['Local Atmospheric Pressure(hPa)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",587933.4266998201,844187370580.1816,918796.6970881979,0.9237452979219208
"['Local Atmospheric Pressure(hPa)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",689471.2562494642,1087495519510.5402,1042830.5324982292,0.9017674870040646
"['Local Atmospheric Pressure(hPa)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",623520.1766666758,991004400900.4291,995492.0395967157,0.9104834448106092
"['sunshine(hr)', 'Snowfall(cm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",685964.1243081399,1022262677343.9468,1011070.0654969204,0.9076599122149527
"['sunshine(hr)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",686235.782864674,1058658639512.5144,1028911.3856462637,0.9043722969902641
"['sunshine(hr)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",739657.306504499,1205207159049.1658,1097819.2743111982,0.8911346982216748
"['sunshine(hr)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",604112.0378125918,868435475464.9927,931898.8547396078,0.9215549879523717
"['sunshine(hr)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",680466.3177897908,1041633236502.4999,1020604.3486594106,0.905910186657336
"['sunshine(hr)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",588564.5162352257,883821124857.2136,940117.6122471133,0.9201652157861815
"['Snowfall(cm)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",676641.209516587,989928464256.7856,994951.4883936732,0.9105806332205229
"['Snowfall(cm)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",732112.248935444,1136024650036.1145,1065844.5712373424,0.89738389336206
"['Snowfall(cm)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",593879.8301027032,793158869468.5466,890594.671816841,0.9283546575088623
"['Snowfall(cm)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",685637.1124441692,1024433840789.4061,1012143.1918406634,0.9074637929321179
"['Snowfall(cm)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",616526.5088591655,926088578669.0891,962334.9617825849,0.9163472338898064
"['Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",722957.0400726076,1153207674586.6064,1073875.074013084,0.895831765879985
"['Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",602976.8089980738,856096246063.1615,925254.692537769,0.922669579682479
"['Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",678798.7405411504,1029085551542.473,1014438.5400518224,0.9070436079945197
"['Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",582848.6317497044,842833186043.9729,918059.46759672,0.9238676202190388
"['Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",607990.9721994057,902564044967.6732,950033.7072797329,0.9184721843112921
"['Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",722329.1171302407,1180820920215.0952,1086655.842580849,0.8933374857092664
"['Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",664518.9712894647,1099684198336.9558,1048658.2848273101,0.9006664943749105
"['year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",573032.5618069023,827244574005.7267,909529.8642736954,0.925275725822384
"['year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",563400.4115862895,816988928419.2955,903874.3985860511,0.9262021092605468
"['month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",631071.6863246979,1016622932792.5975,1008277.2102911965,0.9081693453758208
"['Prec(mm)', 'Humidity', 'Vapor_pressure(hPa)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",716267.1244613652,1151346700800.6465,1073008.248244461,0.8959998660039254
"['Prec(mm)', 'Humidity', 'Dew_Point(C)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",715539.4021209349,1150688490417.0981,1072701.4917567226,0.8960593215684736
"['Prec(mm)', 'Humidity', 'Local Atmospheric Pressure(hPa)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",693519.5531675374,1087262792757.9613,1042718.9423607693,0.9017885090067644
"['Prec(mm)', 'Humidity', 'sunshine(hr)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",699445.5918573618,1091361862271.0896,1044682.6610368766,0.9014182436659005
"['Prec(mm)', 'Humidity', 'Snowfall(cm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",704621.086279649,1081990612237.0623,1040187.7773926505,0.9022647404323149
"['Prec(mm)', 'Humidity', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",691079.5661800558,1066442567873.3278,1032687.0619279239,0.9036691815933315
