features,mae,mse,rmse,r2
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",672760.6297681825,975103694357.3505,987473.389189476,0.9119197416358508
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",671655.7816922677,1005188085362.4785,1002590.6868520565,0.9092022450785168
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",711881.9605656123,1107451672403.244,1052355.2976078202,0.8999648652799184
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",578710.7108417759,824569677420.3896,908058.1905474945,0.9255173468763265
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",677998.2738808525,1040343824806.7063,1019972.4627688271,0.9060266580807964
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",592735.7176086969,889212006628.6305,942980.3850709889,0.9196782621811601
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",666619.1336577624,953211894870.7072,976325.7114665715,0.9138972086129507
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",711542.3071779013,1065056509441.662,1032015.7505782855,0.9037943830313688
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",573492.8925464266,756023952550.277,869496.3786872703,0.9317090218656172
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",679312.8748521798,1009982217514.792,1004978.714956089,0.9087691953412927
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",611981.2614558085,904596617907.6564,951102.8429710724,0.918288583786821
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",704219.0817981543,1072314411603.2937,1035526.1520614985,0.9031387831179672
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",576424.9370250306,804225297950.5773,896786.0937540107,0.9273550367654417
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",672849.5167971292,1017816274704.3031,1008868.8094615192,0.9080615518513905
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",582072.6808682957,836545237654.9369,914628.4697378149,0.9244356050619756
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",590522.6681799392,850515930814.1913,922234.2060529913,0.9231736446467765
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",714526.3793758224,1142047224018.0017,1068666.095662252,0.8968398795557218
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",652981.544552113,1043936238887.0862,1021731.9799669022,0.9057021584791829
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",574563.5728628712,827225042305.4084,909519.1269596305,0.9252774901036807
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",553335.4685445254,793819099517.994,890965.2628009658,0.9282950195096714
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",623754.5756883675,985390206625.8798,992668.2258568972,0.9109905700374649
"['Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",675761.3269293779,978384140710.7699,989133.0247801708,0.9116234218044001
"['Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",722911.982219311,1076888544305.919,1037732.4049608931,0.9027256057373763
"['Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",582330.825849544,761548365295.0635,872667.3852591624,0.9312100065253137
"['Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",673999.0917550293,966344537880.9875,983028.2487705974,0.9127109485300042
"['Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",579976.7002124523,805126059262.6354,897288.1695768842,0.9272736717890299
"['Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",721202.4632157275,1128099266529.7058,1062120.1751825006,0.8980997862777765
"['Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",594732.2115827373,850031079811.1301,921971.3009693578,0.9232174408110869
"['Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",673383.9792043095,1015243590136.9557,1007592.9684832838,0.9082939401837213
"['Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",576322.9806690777,823916418261.6962,907698.4181222836,0.9255763552010918
"['Dew_Point(C)', 'sunshine(hr)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",596661.9384335501,866062156755.2961,930624.6057112912,0.9217693677422752
"['Dew_Point(C)', 'sunshine(hr)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",703564.6113731731,1100023779500.5698,1048820.1845409775,0.9006358203073219
"['Dew_Point(C)', 'sunshine(hr)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",619900.2877375295,943753935281.4778,971469.9868145582,0.9147515377771592
"['Dew_Point(C)', 'sunshine(hr)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",562648.4898889653,801531695100.3619,895283.0251380632,0.9275983475398242
"['Dew_Point(C)', 'sunshine(hr)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",526588.9617439717,754607460135.0599,868681.4491717087,0.9318369723785987
"['Dew_Point(C)', 'sunshine(hr)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",596837.1028377069,894757512793.0084,945916.2292682204,0.9191773414908326
"['Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",706754.3359617603,1030379604912.4609,1015076.1571982966,0.9069267172927151
"['Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",578014.8714044583,745669107975.4117,863521.3419339511,0.9326443658610841
"['Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",670669.9589694132,948667289322.354,973995.5283893012,0.9143077188316878
"['Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",573311.0485915075,757502441300.5028,870346.1617658245,0.9315754712782675
"['Dew_Point(C)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",584817.8922599163,772434588680.8406,878882.5795752471,0.9302266635496099
"['Dew_Point(C)', 'Snowfall(cm)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",707092.9389952386,1052308238572.3423,1025820.7633755237,0.9049459231171705
"['Dew_Point(C)', 'Snowfall(cm)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",647405.8874633586,967686469149.1178,983710.5616740718,0.9125897330598057
"['Dew_Point(C)', 'Snowfall(cm)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",555625.5903579756,721962415920.3406,849683.7152260485,0.9347857704863083
"['Dew_Point(C)', 'Snowfall(cm)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",543791.893802817,703555927039.3629,838782.4074450792,0.9364484124243864
"['Dew_Point(C)', 'Snowfall(cm)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",619897.2723934933,923020982076.195,960739.8097696352,0.9166243271897525
"['Dew_Point(C)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",594598.020540828,855529135659.5303,924948.1799860629,0.9227208062660329
"['Dew_Point(C)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",699792.5756073912,1079880082095.0347,1039172.7874107533,0.9024553827622238
"['Dew_Point(C)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",605432.3790221002,885395353074.3031,940954.4904373978,0.9200230171370657
"['Dew_Point(C)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",566931.7769992184,798662344745.5514,893679.1061368457,0.9278575334315929
"['Dew_Point(C)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",514017.66759901046,707522420053.5505,841143.5192959347,0.9360901226019696
"['Dew_Point(C)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",585583.1275663316,845901506330.1368,919729.0396253327,0.9235904615485167
"['Dew_Point(C)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",575830.5467165611,833587360836.7946,913010.0551674087,0.9247027874712506
"['Dew_Point(C)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",561343.6416542762,823861841772.2754,907668.3545063557,0.9255812850473395
"['Dew_Point(C)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",666840.8905982908,1093221329661.6776,1045572.2498525282,0.9012502796133279
"['Dew_Point(C)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",546002.3305310128,791751608617.6226,889804.252977936,0.9284817741427673
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",663156.9307076826,944962688682.0361,972091.9137005699,0.914642352146507
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",701356.297152539,1034139695223.4132,1016926.5928391357,0.9065870716447931
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",562258.9512878123,738687311086.4781,859469.2031053109,0.933275025428248
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",669079.3137072588,966316936780.6503,983014.209856933,0.9127134417131015
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",580348.9926602212,815784634590.3733,903207.9686264804,0.9263108920620187
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",704488.9491715963,1077446301259.7949,1038001.1085060531,0.9026752240427052
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",570693.469179797,803298841278.8986,896269.4021771014,0.9274387227810694
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",667926.1930039154,1001876807910.7559,1000937.9640670824,0.9095013498559378
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",576605.2101730468,828942344125.4318,910462.7088054908,0.9251223677419542
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",581235.9857683543,840988909788.8936,917054.4748208219,0.9240342120697129
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",703838.3189633256,1100618568148.407,1049103.6975191762,0.9005820935723329
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",621842.6499260381,951210186846.1471,975300.0496494129,0.9140780211367807
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",559171.4567898888,799005054291.3221,893870.8264012884,0.9278265767799978
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",527100.2543079735,753422478341.0013,867999.1234678762,0.9319440107409611
"['Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",595162.6692886576,895304656361.0427,946205.3986112332,0.9191279184939619
"['Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",692015.8653116412,1000162086380.6979,1000081.0399066157,0.909656239142343
"['Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",562017.5848658957,727213236129.9872,852767.9849349336,0.9343114685188707
"['Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",664650.347572461,950384132017.8712,974876.4701324323,0.9141526379422739
"['Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",574116.853094749,765568525493.6842,874967.7282584108,0.9308468689933682
"['Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",573144.7923195012,763090253329.8251,873550.3725199967,0.9310707291363998
"['Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",704436.5726323753,1064805995260.5372,1031894.3721430684,0.9038170117568316
"['Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",643281.9645284277,968109157207.7648,983925.3819308479,0.9125515520195446
"['Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",559103.1910199303,741647426481.4872,861189.5415537088,0.9330076408102952
"['Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",532991.544994456,695552371418.6512,833997.8245886804,0.9371713665583759
"['Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",614763.0372461149,915627545158.6981,956884.2903709403,0.9172921698383453
"['Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",576844.616737006,819411851280.4159,905213.7047572887,0.9259832487713098
"['Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",694464.7022889877,1066286577611.7716,1032611.5327710472,0.9036832720563456
"['Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",605523.8804552162,893953484204.5598,945491.1338582503,0.9192499686854709
"['Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",564138.839180126,790530527973.3181,889117.836944754,0.9285920732824959
"['Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",516119.93508858164,714321110897.754,845175.1953871778,0.9354760028426448
"['Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",582999.2918308885,841638092929.733,917408.3566927724,0.9239755719280525
"['Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",575585.7311874453,838274718883.568,915573.4371876284,0.9242793825449908
"['Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",551169.8023024537,803976130985.9995,896647.1608085309,0.9273775437980196
"['Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",658694.4400469763,1067365766659.3605,1033133.9538798251,0.9035857898596464
"['Local Atmospheric Pressure(hPa)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",546256.1570750659,795354988858.5363,891826.7706559028,0.9281562839775259
"['sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",714087.52496206,1051545172027.2223,1025448.7661639767,0.9050148502464924
"['sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",577452.9721565605,751824842369.8706,867078.3369280256,0.9320883237918944
"['sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",664030.3018267117,935786369224.4946,967360.5166764326,0.9154712410055375
"['sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",560968.8215595931,731485857699.3488,855269.4649637322,0.9339255263735385
"['sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",579061.3869859483,770830756310.2761,877969.678468611,0.9303715363158496
"['sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",694972.9183845798,1016466772677.7933,1008199.7682393075,0.9081834511815292
"['sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",604708.0717543751,857376164471.7247,925946.0915581018,0.9225539657792975
"['sunshine(hr)', 'Snowfall(cm)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",546562.2903191606,711070588813.4143,843250.0156023802,0.9357696196412107
"['sunshine(hr)', 'Snowfall(cm)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",507668.219395822,649116325901.99,805677.5570301,0.9413658936739895
"['sunshine(hr)', 'Snowfall(cm)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",581735.3978770858,811347540290.4335,900748.3223911291,0.9267116908843248
"['sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",591057.807755659,854111475216.1967,924181.5163787884,0.9228488622859661
"['sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",695116.3138212146,1074772973061.9259,1036712.5797741271,0.9029167034255883
"['sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",596120.7579098388,873329006369.997,934520.7361904802,0.921112959613314
"['sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",555342.9828340199,785360846480.2324,886205.8713866842,0.92905904606109
"['sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",509675.02411820355,709395112400.6439,842255.966081953,0.9359209639507173
"['sunshine(hr)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",576540.8335849182,822074112119.9927,906683.0273695393,0.925742769093159
"['sunshine(hr)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",561362.2233888897,812969761850.76,901648.3582033297,0.9265651570387612
"['sunshine(hr)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",526641.5480232877,765302688371.5569,874815.8025387727,0.9308708818266036
"['sunshine(hr)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",623158.6804131198,959305307649.0125,979441.3242502138,0.9133467960004886
"['sunshine(hr)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",521125.8286373558,748908002864.8733,865394.7092886998,0.9323517993367966
"['Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",576722.2118216868,758077525368.8081,870676.4757180522,0.9315235244406024
"['Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",688861.6538337304,991699245016.342,995840.9737585324,0.9104206801532639
"['Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",592043.3134475478,798592288740.6676,893639.9099976834,0.9278638615288465
"['Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",552121.9533155581,708909216275.7307,841967.4674687441,0.9359648545199646
"['Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",496782.44083834515,615525928857.3081,784554.6054018853,0.9444000846706709
"['Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",573507.4697568549,765833036336.7139,875118.8698323867,0.9308229759617563
