longitude,latitude,time,d2m,t2m
126.4,34.74,2019-01-04 18:00:00,273.7541,276.7836
126.4,34.74,2019-01-04 19:00:00,274.1745,277.02496
126.4,34.74,2019-01-04 20:00:00,274.40945,277.18344
126.4,34.74,2019-01-04 21:00:00,274.5331,277.14932
126.4,34.74,2019-01-04 22:00:00,274.4978,277.65765
126.4,34.74,2019-01-04 23:00:00,274.76337,277.49127
126.4,34.74,2019-01-05 00:00:00,274.62735,277.12067
126.4,34.74,2019-01-05 01:00:00,273.94308,276.70007
126.4,34.74,2019-01-05 02:00:00,272.3956,276.97314
126.4,34.74,2019-01-05 03:00:00,270.937,277.01825
126.4,34.74,2019-01-05 04:00:00,269.60446,277.03168
126.4,34.74,2019-01-05 05:00:00,268.33548,277.34192
126.4,34.74,2019-01-05 06:00:00,268.25775,277.2572
126.4,34.74,2019-01-05 07:00:00,268.34137,276.99753
126.4,34.74,2019-01-05 08:00:00,268.3025,275.9735
126.4,34.74,2019-01-05 09:00:00,268.28424,275.50052
126.4,34.74,2019-01-05 10:00:00,268.4338,274.55145
126.4,34.74,2019-01-05 11:00:00,268.42734,274.38873
126.4,34.74,2019-01-05 12:00:00,268.42087,274.304
126.4,34.74,2019-01-05 13:00:00,268.50214,274.16257
126.4,34.74,2019-01-05 14:00:00,268.52274,273.81638
126.4,34.74,2019-01-05 15:00:00,268.4656,273.58597
126.4,34.74,2019-01-05 16:00:00,268.46796,273.5567
126.4,34.74,2019-01-05 17:00:00,268.25833,273.79382
126.4,34.74,2019-01-05 18:00:00,268.2707,273.81027
126.4,34.74,2019-01-05 19:00:00,268.46326,273.86694
126.4,34.74,2019-01-05 20:00:00,268.56512,273.69812
126.4,34.74,2019-01-05 21:00:00,268.33667,273.461
126.4,34.74,2019-01-05 22:00:00,267.83966,273.58475
126.4,34.74,2019-01-05 23:00:00,267.5323,273.2702
126.4,34.74,2019-01-06 00:00:00,267.6483,273.43906
126.4,34.74,2019-01-06 01:00:00,267.5853,273.8517
126.4,34.74,2019-01-06 02:00:00,267.8332,275.40604
126.4,34.74,2019-01-06 03:00:00,268.22595,276.14905
126.4,34.74,2019-01-06 04:00:00,268.73413,276.4782
126.4,34.74,2019-01-06 05:00:00,269.3742,277.23282
126.4,34.74,2019-01-06 06:00:00,269.7081,277.4102
126.4,34.74,2019-01-06 07:00:00,269.96246,277.46628
126.4,34.74,2019-01-06 08:00:00,270.4636,276.80737
126.4,34.74,2019-01-06 09:00:00,270.7421,276.56415
126.4,34.74,2019-01-06 10:00:00,270.68854,275.59866
126.4,34.74,2019-01-06 11:00:00,270.82043,275.57974
126.4,34.74,2019-01-06 12:00:00,270.80157,275.57306
126.4,34.74,2019-01-06 13:00:00,270.82983,275.57062
126.4,34.74,2019-01-06 14:00:00,270.85986,275.24512
126.4,34.74,2019-01-06 15:00:00,270.86987,275.10553
126.4,34.74,2019-01-06 16:00:00,270.69913,274.9745
126.4,34.74,2019-01-06 17:00:00,270.7268,274.66483
126.4,34.74,2019-01-06 18:00:00,270.86694,274.40213
126.4,34.74,2019-01-06 19:00:00,270.88284,274.41187
126.4,34.74,2019-01-06 20:00:00,271.0324,274.3235
126.4,34.74,2019-01-06 21:00:00,271.14487,274.36557
126.4,34.74,2019-01-06 22:00:00,272.10117,274.6307
126.4,34.74,2019-01-06 23:00:00,272.05112,274.59415
126.4,34.74,2019-01-07 00:00:00,271.9004,274.9562
126.4,34.74,2019-01-07 01:00:00,271.70428,275.31644
126.4,34.74,2019-01-07 02:00:00,271.72726,277.14993
126.4,34.74,2019-01-07 03:00:00,271.5406,277.56683
126.4,34.74,2019-01-07 04:00:00,271.41574,277.79178
126.4,34.74,2019-01-07 05:00:00,271.68546,278.21234
126.4,34.74,2019-01-07 06:00:00,271.71136,278.19772
126.4,34.74,2019-01-07 07:00:00,271.656,278.06424
126.4,34.74,2019-01-07 08:00:00,271.58005,277.3852
126.4,34.74,2019-01-07 09:00:00,271.4446,277.13528
126.4,34.74,2019-01-07 10:00:00,271.36157,276.52637
126.4,34.74,2019-01-07 11:00:00,271.32388,276.48676
126.4,34.74,2019-01-07 12:00:00,271.3345,276.4648
126.4,34.74,2019-01-07 13:00:00,271.51233,276.55502
126.4,34.74,2019-01-07 14:00:00,271.75964,276.42883
126.4,34.74,2019-01-07 15:00:00,271.96634,276.2484
126.4,34.74,2019-01-07 16:00:00,272.11237,276.26974
126.4,34.74,2019-01-07 17:00:00,272.33554,276.1137
126.4,34.74,2019-01-07 18:00:00,272.5493,276.10153
126.4,34.74,2019-01-07 19:00:00,272.74066,276.1704
126.4,34.74,2019-01-07 20:00:00,272.859,275.98145
126.4,34.74,2019-01-07 21:00:00,273.1599,276.24292
126.4,34.74,2019-01-07 22:00:00,273.24002,276.7019
126.4,34.74,2019-01-07 23:00:00,273.38193,276.01434
126.4,34.74,2019-01-08 00:00:00,272.96915,275.84186
126.4,34.74,2019-01-08 01:00:00,272.26312,275.98877
126.4,34.74,2019-01-08 02:00:00,272.1094,277.10117
126.4,34.74,2019-01-08 03:00:00,271.86563,277.89844
126.4,34.74,2019-01-08 04:00:00,271.45166,278.2361
126.4,34.74,2019-01-08 05:00:00,270.9688,278.05508
126.4,34.74,2019-01-08 06:00:00,271.03595,277.65765
126.4,34.74,2019-01-08 07:00:00,270.52777,277.1548
126.4,34.74,2019-01-08 08:00:00,269.40012,276.00095
126.4,34.74,2019-01-08 09:00:00,268.8519,275.51636
126.4,34.74,2019-01-08 10:00:00,268.91196,275.3975
126.4,34.74,2019-01-08 11:00:00,268.80478,275.3981
126.4,34.74,2019-01-08 12:00:00,268.71292,275.54013
126.4,34.74,2019-01-08 13:00:00,268.5522,275.73944
126.4,34.74,2019-01-08 14:00:00,268.13586,275.52368
126.4,34.74,2019-01-08 15:00:00,267.67303,275.24756
126.4,34.74,2019-01-08 16:00:00,267.431,274.8099
126.4,34.74,2019-01-08 17:00:00,266.8557,274.25583
126.4,34.74,2019-01-08 18:00:00,266.914,273.8901
126.4,34.74,2019-01-08 19:00:00,267.04883,273.46222
126.4,34.74,2019-01-08 20:00:00,266.7391,272.67468
126.4,34.74,2019-01-08 21:00:00,266.49826,272.28033
126.4,34.74,2019-01-08 22:00:00,265.2976,271.58423
126.4,34.74,2019-01-08 23:00:00,264.28656,271.2112
126.4,34.74,2019-01-09 00:00:00,263.11826,271.1856
126.4,34.74,2019-01-09 01:00:00,262.62247,271.4995
126.4,34.74,2019-01-09 02:00:00,262.25735,272.9673
126.4,34.74,2019-01-09 03:00:00,262.06128,273.7359
126.4,34.74,2019-01-09 04:00:00,261.8069,274.25583
126.4,34.74,2019-01-09 05:00:00,262.01477,275.0647
126.4,34.74,2019-01-09 06:00:00,262.3333,275.33105
126.4,34.74,2019-01-09 07:00:00,262.59714,275.47186
126.4,34.74,2019-01-09 08:00:00,263.81546,275.08664
126.4,34.74,2019-01-09 09:00:00,264.22708,274.6886
126.4,34.74,2019-01-09 10:00:00,264.09164,274.09735
126.4,34.74,2019-01-09 11:00:00,264.85068,273.93826
126.4,34.74,2019-01-09 12:00:00,265.11212,274.08273
126.4,34.74,2019-01-09 13:00:00,265.499,274.14673
126.4,34.74,2019-01-09 14:00:00,266.0042,274.05957
126.4,34.74,2019-01-09 15:00:00,266.1167,274.23267
126.4,34.74,2019-01-09 16:00:00,266.1962,274.2717
126.4,34.74,2019-01-09 17:00:00,266.38403,274.42712
126.4,34.74,2019-01-09 18:00:00,266.6384,274.51917
126.4,34.74,2019-01-09 19:00:00,267.21313,274.66666
126.4,34.74,2019-01-09 20:00:00,267.90033,274.7715
126.4,34.74,2019-01-09 21:00:00,268.61105,274.73187
126.4,34.74,2019-01-09 22:00:00,269.44604,274.87146
126.4,34.74,2019-01-09 23:00:00,269.7116,275.07324
126.4,34.74,2019-01-10 00:00:00,270.1079,275.2189
126.4,34.74,2019-01-10 01:00:00,270.5566,275.62668
126.4,34.74,2019-01-10 02:00:00,271.18845,276.7964
126.4,34.74,2019-01-10 03:00:00,271.4028,277.38947
126.4,34.74,2019-01-10 04:00:00,271.45578,277.86066
126.4,34.74,2019-01-10 05:00:00,272.12885,278.3196
126.4,34.74,2019-01-10 06:00:00,272.53104,278.4592
126.4,34.74,2019-01-10 07:00:00,272.9026,278.6244
126.4,34.74,2019-01-10 08:00:00,273.81238,278.28305
126.4,34.74,2019-01-10 09:00:00,274.05557,278.25806
126.4,34.74,2019-01-10 10:00:00,273.91306,277.526
126.4,34.74,2019-01-10 11:00:00,273.68872,277.51932
126.4,34.74,2019-01-10 12:00:00,273.26416,277.35535
126.4,34.74,2019-01-10 13:00:00,272.9238,276.81467
126.4,34.74,2019-01-10 14:00:00,272.6853,276.21732
126.4,34.74,2019-01-10 15:00:00,272.74243,275.9272
126.4,34.74,2019-01-10 16:00:00,272.6753,275.6145
126.4,34.74,2019-01-10 17:00:00,272.4639,275.2244
126.4,34.74,2019-01-10 18:00:00,272.5381,275.1689
126.4,34.74,2019-01-10 19:00:00,272.6123,275.1348
126.4,34.74,2019-01-10 20:00:00,272.50806,275.09274
126.4,34.74,2019-01-10 21:00:00,272.24484,274.90683
126.4,34.74,2019-01-10 22:00:00,271.0642,275.29083
126.4,34.74,2019-01-10 23:00:00,271.0283,275.57306
126.4,34.74,2019-01-11 00:00:00,271.12427,275.66083
126.4,34.74,2019-01-11 01:00:00,271.22556,276.0491
126.4,34.74,2019-01-11 02:00:00,271.4128,277.47116
126.4,34.74,2019-01-11 03:00:00,271.5995,278.3367
126.4,34.74,2019-01-11 04:00:00,271.62244,278.97183
126.4,34.74,2019-01-11 05:00:00,271.46756,279.87213
126.4,34.74,2019-01-11 06:00:00,271.38278,280.13544
126.4,34.74,2019-01-11 07:00:00,271.3969,280.28052
126.4,34.74,2019-01-11 08:00:00,272.48804,279.9678
126.4,34.74,2019-01-11 09:00:00,272.047,279.89346
126.4,34.74,2019-01-11 10:00:00,272.45154,279.52713
126.4,34.74,2019-01-11 11:00:00,273.40665,279.08215
126.4,34.74,2019-01-11 12:00:00,273.5009,278.95477
126.4,34.74,2019-01-11 13:00:00,273.71344,278.49274
126.4,34.74,2019-01-11 14:00:00,273.65692,277.9106
126.4,34.74,2019-01-11 15:00:00,273.63925,277.423
126.4,34.74,2019-01-11 16:00:00,273.87067,277.3712
126.4,34.74,2019-01-11 17:00:00,274.2711,276.93903
126.4,34.74,2019-01-11 18:00:00,274.38766,276.94635
126.4,34.74,2019-01-11 19:00:00,274.3659,276.847
126.4,34.74,2019-01-11 20:00:00,274.4289,276.61047
126.4,34.74,2019-01-11 21:00:00,274.58905,276.44894
126.4,34.74,2019-01-11 22:00:00,274.73392,276.49954
126.4,34.74,2019-01-11 23:00:00,274.77985,276.41605
126.4,34.74,2019-01-12 00:00:00,274.85287,276.51477
126.4,34.74,2019-01-12 01:00:00,275.00186,277.00302
126.4,34.74,2019-01-12 02:00:00,275.17496,278.39154
126.4,34.74,2019-01-12 03:00:00,275.0613,279.22296
126.4,34.74,2019-01-12 04:00:00,274.85757,279.63806
126.4,34.74,2019-01-12 05:00:00,274.40887,280.35364
126.4,34.74,2019-01-12 06:00:00,274.34882,280.38107
126.4,34.74,2019-01-12 07:00:00,274.28934,280.2342
126.4,34.74,2019-01-12 08:00:00,274.06262,279.47775
126.4,34.74,2019-01-12 09:00:00,274.2605,278.9895
126.4,34.74,2019-01-12 10:00:00,274.50958,277.99353
126.4,34.74,2019-01-12 11:00:00,274.62616,277.75824
126.4,34.74,2019-01-12 12:00:00,274.65796,277.61804
126.4,34.74,2019-01-12 13:00:00,274.549,277.37973
126.4,34.74,2019-01-12 14:00:00,274.36237,276.9622
126.4,34.74,2019-01-12 15:00:00,274.33762,276.65497
126.4,34.74,2019-01-12 16:00:00,274.43066,276.67508
126.4,34.74,2019-01-12 17:00:00,274.29935,276.3435
126.4,34.74,2019-01-12 18:00:00,274.03613,276.30206
126.4,34.74,2019-01-12 19:00:00,273.75702,276.1247
126.4,34.74,2019-01-12 20:00:00,273.4314,275.77115
126.4,34.74,2019-01-12 21:00:00,273.3778,275.595
126.4,34.74,2019-01-12 22:00:00,273.71463,276.05032
126.4,34.74,2019-01-12 23:00:00,273.6628,275.82843
126.4,34.74,2019-01-13 00:00:00,273.4414,275.88086
126.4,34.74,2019-01-13 01:00:00,272.98444,276.27646
126.4,34.74,2019-01-13 02:00:00,272.02286,277.96732
